year,category,value
2021,Manslaughter,0.0
2022,Manslaughter,0.0
2023,Manslaughter,0.0
2010,Perverting Course of Justice,0.823045267489712
2011,Perverting Course of Justice,1.088646967340591
2012,Perverting Course of Justice,0.24752475247524752
2013,Perverting Course of Justice,1.1111111111111112
2014,Perverting Course of Justice,0.38910505836575876
2015,Perverting Course of Justice,0.8869179600886918
2016,Perverting Course of Justice,1.834862385321101
2017,Perverting Course of Justice,0.5
2018,Perverting Course of Justice,2.898550724637681
2019,Perverting Course of Justice,3.4000000000000004
2020,Perverting Course of Justice,0.554016620498615
2021,Perverting Course of Justice,0.5319148936170213
2022,Perverting Course of Justice,0.6269592476489028
2023,Perverting Course of Justice,0.4405286343612335
2010,Resisting Arrest,1.440329218106996
2011,Resisting Arrest,0.6220839813374806
2012,Resisting Arrest,0.49504950495049505
2013,Resisting Arrest,0.5555555555555556
2014,Resisting Arrest,0.7782101167315175
2015,Resisting Arrest,0.6651884700665188
2016,Resisting Arrest,0.6880733944954129
2017,Resisting Arrest,0.5
2018,Resisting Arrest,0.4830917874396135
2019,Resisting Arrest,0.6
2020,Resisting Arrest,0.0
2021,Resisting Arrest,0.5319148936170213
2022,Resisting Arrest,0.3134796238244514
2023,Resisting Arrest,0.4405286343612335
2010,Use of Internet,0.0
2011,Use of Internet,0.0
2012,Use of Internet,0.0
2013,Use of Internet,1.4814814814814816
2014,Use of Internet,0.5836575875486382
2015,Use of Internet,0.4434589800443459
2016,Use of Internet,0.6880733944954129
2017,Use of Internet,0.75
2018,Use of Internet,0.24154589371980675
2019,Use of Internet,0.6
2020,Use of Internet,0.0
2021,Use of Internet,1.0638297872340425
2022,Use of Internet,0.9404388714733543
2023,Use of Internet,0.4405286343612335
